stary,nowy
69.99,48.21
65.99,51.35
63.7,58.94
61.97,49.53
69.27,53.29
63.12,55.34
63.25,48.95
68.8,54.14
66.15,69.33
60.29,45.46
42.07,54.41
58.22,56.95
70.55,58.77
57.7,47.4
70.67,45.52
65.73,55.88
72.14,58.85
70.15,56.31
52.82,46.74
46.32,49.63
53.8,46.15
55.94,52.69
69.51,42.25
64.09,47.69
60.57,51.25
63.76,54.98
52.64,48.81
85.46,57.48
65.42,50.76
44.44,47.98
62.73,53.52
73.75,55.84
60.55,42.93
51.07,51.95
71.7,50.36
57.08,48.97
59.5,49.92
47.75,56.88
67.16,46.55
53.46,39.19
62.16,47.19
72.99,41.94
75.03,53.8
61.82,46.03
58.14,41.05
77,60.77
67.8,49.46
61.09,38.88
58.14,50.8
57.28,47.88
