publiczny,prywatny,celuloza1,celuloza2,zawodnik1,zawodnik2,stary,nowy
47.4914,104.073,36.21,40.75,7.6,7.5,69.99,48.21
36.2177,96.2273,19.65,32.24,7.81,7.9,65.99,51.35
59.4408,85.119,26.60,29.02,8.01,8.0,63.70,58.94
67.5517,86.9059,33.23,36.79,7.95,7.17,61.97,49.53
56.0187,68.3697,37.38,26.83,7.15,7.28,69.27,53.29
69.2786,56.3417,33.38,33.17,8.06,7.35,63.12,55.34
60.1819,50.0869,26.56,34.78,7.9,7.73,63.25,48.95
70.6493,76.0635,26.94,36.39,7.91,7.2,68.80,54.14
68.6899,63.9101,,19.48,7.56,7.98,66.15,69.33
67.8221,40.22,,39.24,7.62,,60.29,45.46
57.1039,57.4293,,32.87,7.85,,42.07,54.41
,92.4831,,37.58,8.02,,58.22,56.95
,78.7868,,33.39,,,70.55,58.77
,60.8364,,50.07,,,57.70,47.40
,52.5543,,37.42,,,70.67,45.52
,80.1982,,43.35,,,65.73,55.88
,,,38.77,,,72.14,58.85
,,,41.64,,,70.15,56.31
,,,21.88,,,52.82,46.74
,,,53.30,,,46.32,49.63
,,,19.86,,,53.80,46.15
,,,,,,55.94,52.69
,,,,,,69.51,42.25
,,,,,,64.09,47.69
,,,,,,60.57,51.25
,,,,,,63.76,54.98
,,,,,,52.64,48.81
,,,,,,85.46,57.48
,,,,,,65.42,50.76
,,,,,,44.44,47.98
,,,,,,62.73,53.52
,,,,,,73.75,55.84
,,,,,,60.55,42.93
,,,,,,51.07,51.95
,,,,,,71.70,50.36
,,,,,,57.08,48.97
,,,,,,59.50,49.92
,,,,,,47.75,56.88
,,,,,,67.16,46.55
,,,,,,53.46,39.19
,,,,,,62.16,47.19
,,,,,,72.99,41.94
,,,,,,75.03,53.80
,,,,,,61.82,46.03
,,,,,,58.14,41.05
,,,,,,77.00,60.77
,,,,,,67.80,49.46
,,,,,,61.09,38.88
,,,,,,58.14,50.80
,,,,,,57.28,47.88
